t(s),Total retention volume 1,Total retention volume 2,Total retention volume 3
121.09994191499949,1.5168643667344028e+18,6.188321144100213e-83,4.923796299286339e-93
134.20993610649944,1.6022911021009208e+18,3.610000336906137e-77,8.348557657511309e-87
148.6309297171494,1.6922290415696945e+18,7.505121039723432e-72,4.796121792833682e-81
164.49402268886433,1.7869869941267538e+18,6.505347277066456e-67,1.0948684826948667e-75
181.94342495775078,1.8868953935370875e+18,2.6345093929055996e-62,1.1155909347172677e-70
201.13776745352587,1.992308213838068e+18,5.4379825003572704e-58,5.547338036327242e-66
222.25154419887846,2.103605021193663e+18,6.130338339431289e-54,1.4455279432006864e-61
245.47669861876633,2.2211931755371116e+18,3.9935248969867067e-50,2.0928070481844473e-57
271.024368480643,2.3455101958982497e+18,1.5759873104672657e-46,1.768205814724154e-53
299.1268053287073,2.477026303963959e+18,3.9222055257271856e-43,9.092788440296796e-50
330.03948586157804,2.616247161243889e+18,6.373519485710759e-40,2.9517445888363575e-46
364.0434344477359,2.763716816201296e+18,6.971165214381173e-37,6.246204324483723e-43
401.44777789250946,2.920020878858386e+18,5.272111076766922e-34,8.865132676943564e-40
442.5925556817604,3.085789941696108e+18,2.823773797744615e-31,8.65700024673011e-37
487.8518112499365,3.261703267143104e+18,1.0944512775775576e-28,5.95190124430167e-34
537.6369923749302,3.4484927635907743e+18,3.12997943099353e-26,2.9418173872886135e-31
592.4006916124232,3.6469472736869335e+18,6.722835118358005e-24,1.0654032952906952e-28
652.6407607736655,3.857917200655543e+18,1.1021738215575008e-21,2.8768828441437454e-26
718.9048368510321,4.0823195005724416e+18,1.3998230232683739e-19,5.885748835492691e-24
791.7953205361354,4.321143070906569e+18,1.3962035294529946e-17,9.259239647885535e-22
871.9748525897489,4.575454568221362e+18,1.1075200434778691e-15,1.1354981892017684e-19
960.1723378487239,4.846404690736878e+18,7.06893920671229e-14,1.0993863797598537e-17
1057.1895716335964,5.135234964490047e+18,3.670034495762663e-12,8.503505531178192e-16
1163.9085287969563,5.4432850751167e+18,1.5656366398143556e-10,5.312686720130267e-14
1281.299381676652,5.772000790830304e+18,5.54011952776803e-09,2.7087637969095462e-12
1410.4293198443174,6.122942526010032e+18,1.6405755046249866e-07,1.1380408058061489e-10
1552.4722518287492,6.49779459895662e+18,4.099474215726722e-06,3.975634858960144e-09
1708.7194770116243,6.898375241853204e+18,8.711790410299592e-05,1.1647047953431279e-07
1880.5914247127869,7.326647425808298e+18,0.0015861081594691962,2.884511561891017e-06
2069.6505671840655,7.784730569090168e+18,0.02491305844586864,6.085111103938282e-05
2277.615623902472,8.274913202318516e+18,0.3398228690510747,0.0011013382425436352
2506.3771862927197,8.799666670497981e+18,4.050659131267861,0.01721804282132101
2758.0149049219917,9.361659958400815e+18,42.445239711124685,0.23402650847017953
3034.816395414191,9.963775732971557e+18,393.2084845242516,2.7825099700513727
3339.2980349556105,1.0609127704188404e+19,3237.842063282325,29.110318469401054
3674.227838451172,1.1301079414220257e+19,23821.692005855704,269.4819806159513
4042.6506222962894,1.204326457382325e+19,157370.77946467514,2219.2881123397005
4447.915684525919,1.2839609074784082e+19,937935.3042774714,16342.927450402423
4893.707252978511,1.3694354817906006e+19,5066412.66749115,108147.9828294862
5384.077978276362,1.4612085507610761e+19,24912271.754815485,646151.9072513515
5923.485776103998,1.5597754576770445e+19,111981723.1675624,3501497.158347523
6516.834353714399,1.6656715418943957e+19,462032220.48725367,17285244.37275248
7169.5177890858395,1.7794754119819528e+19,1756698914.5067844,78059810.99226315
7887.469567994424,1.901812489533474e+19,6178357443.785839,323793661.8718049
8677.216524793868,2.033358846054001e+19,20174152322.847958,1238483810.561931
9545.938177273256,2.1748453570494243e+19,61377361733.07299,4384515337.204355
10501.531995000581,2.3270621991838413e+19,174584852883.93265,14418766739.582504
11552.68519450064,2.490863718055209e+19,465841258778.43445,44199324499.65733
12708.953713950705,2.6671736957230395e+19,1169781232490.6455,126715994331.08865
13980.849085345777,2.85699104860783e+19,2773096212961.385,340852311518.5433
15379.933993880357,3.0613959878982713e+19,6224923670989.631,862891407895.3254
16918.927393268394,3.281556676458263e+19,13270415752256.697,2061981143756.2498
18611.820132595236,3.518736418925908e+19,26943029218490.098,4664285718351.018
20474.00214585476,3.774301425869444e+19,52240424589986.484,10014815277109.28
22522.40236044024,4.0497291990738846e+19,96985919730555.98,20464366882718.47
24775.642596484264,4.346617593458787e+19,172842803749828.44,39897816674836.07
27254.206856132692,4.6666946211275874e+19,296406926742383.8,74396744501087.16
29980.627541745966,5.01182907255961e+19,490261901694097.2,132994928084682.25
32979.69029592056,5.384042034706102e+19,783851139523327.5,228445177113229.8
36000.0,5.75216160181504e+19,1168913602642999.5,361418731414182.0
